Client Code,TradeDate,Segment,ScripName,ScripCode,Strike Price,ExpiryDate,ISIN,BuyQty,BuyPrice,BuyAmount,SellQty,SellPrice,SellAmount,Ord,
105629,16/05/2022,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,2,691.00,1382.00,0,0.00,0.00,10000,
105629,18/05/2022,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,691.00,691.00,0,0.00,0.00,1652849,
105629,14/07/2020,CASH,BIOCON LTD.,,0,,INE376G01013,10,422.50,4225.00,0,0.00,0.00,10000,
105629,28/12/2021,CASH,BIOCON LTD.,,0,,INE376G01013,0,0.00,0.00,10,357.00,3570.00,10000,
105629,08/07/2020,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,10,96.65,966.50,0,0.00,0.00,12000,
105629,11/08/2020,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,10,148.00,1480.00,0,0.00,0.00,12000,
105629,31/08/2020,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,5,155.00,775.00,0,0.00,0.00,12000,
105629,02/09/2020,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,3,168.00,504.00,0,0.00,0.00,12000,
105629,04/09/2020,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,168.00,336.00,0,0.00,0.00,12000,
105629,01/03/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,5,227.80,1139.00,0,0.00,0.00,12000,
105629,28/05/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,320.00,640.00,0,0.00,0.00,12000,
105629,28/05/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,321.00,642.00,0,0.00,0.00,12000,
105629,28/05/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,1,321.00,321.00,0,0.00,0.00,12000,
105629,01/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,5,311.00,1555.00,0,0.00,0.00,12000,
105629,02/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,10,316.00,3160.00,0,0.00,0.00,12000,
105629,03/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,10,328.00,3280.00,0,0.00,0.00,12000,
105629,04/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,5,337.00,1685.00,0,0.00,0.00,12000,
105629,04/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,5,337.00,1685.00,0,0.00,0.00,12000,
105629,11/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,20,400.00,8000.00,0,0.00,0.00,12000,
105629,14/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,395.00,790.00,0,0.00,0.00,12000,
105629,14/06/2021,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,3,397.00,1191.00,0,0.00,0.00,12000,
105629,07/01/2022,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,576.50,1153.00,0,0.00,0.00,10000,
105629,20/01/2022,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,3,501.50,1504.50,0,0.00,0.00,10000,
105629,20/01/2022,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,502.20,1004.40,0,0.00,0.00,10000,
105629,24/01/2022,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,5,445.00,2225.00,0,0.00,0.00,10000,
105629,25/01/2022,CASH,BIRLASOFT LIMITED,,0,,INE836A01035,2,460.45,920.90,0,0.00,0.00,10000,
